,zip,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
116,30141,33.86043,-84.769883,305050.0,0.0168333333333332,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
117,30144,34.036864,-84.591009,97765.0,-0.6839633053367681,"Atlanta, GA",8.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
118,30145,34.24566,-84.985878,242366.8181818181,0.0178085106382977,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
119,30157,33.884708,-84.871928,305000.0,0.1531190926275991,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
120,30168,33.783542,-84.588106,269471.4285714286,0.0520238095238095,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
121,30170,33.429229,-85.169473,93242.5925925926,-0.7897581006348093,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
122,30171,34.343395,-84.726262,81030.76923076925,-0.6388536457779197,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
123,30175,34.534915,-84.526711,210670.73170731703,-0.1087785607051941,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
124,30176,33.766844,-85.301029,120800.0,-0.6473613795153859,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
125,30177,34.411307,-84.377876,160633.33333333334,-0.4736777367773677,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
126,30178,34.095453,-84.971074,272990.0,-0.0892937451827422,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
127,30179,33.779335,-85.013502,105489.28571428572,-0.4991661669914555,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
128,30180,33.717103,-84.918032,209308.75,-0.0244854059897502,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
129,30182,33.655819,-85.248832,250000.0,-0.183673469387755,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
130,30183,34.338804,-84.602425,89343.22033898305,-0.8628245954126913,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
131,30184,34.252072,-84.741005,278800.0,-0.0560451977401131,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
132,30185,33.519802,-84.918098,304689.4117647059,0.3070405194969555,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
133,30187,33.662549,-84.847233,166428.57142857142,-0.5358920154711013,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
134,30188,34.123528,-84.457649,298200.0,-0.017003136323498,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
135,30189,34.124224,-84.570679,143793.10344827586,-0.4196494883618916,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
136,30204,33.05605,-84.121042,142666.66666666666,-0.6315286195286196,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
137,30205,33.267427,-84.475138,502500.0,0.212303980699638,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
